,pclass,age,sibsp,parch,fare,boat_num,home_num,cabin_num,sex_n,embarked_n,child,survived
0,3,31.084204413472776,0,0,7.75,0.4,0.4,0.5,0,2,0,0.0
1,3,31.084204413472776,2,0,23.25,1.0,0.4,0.5,1,2,0,1.0
2,3,31.084204413472776,2,0,23.25,1.0,0.4,0.5,1,2,0,1.0
3,3,31.084204413472776,2,0,23.25,1.0,0.4,0.5,0,2,0,1.0
4,3,31.084204413472776,0,0,7.7875,1.0,0.4,0.5,1,2,0,1.0
5,3,31.084204413472776,0,0,15.5,0.4,0.4,0.5,0,2,0,0.0
6,3,31.084204413472776,0,0,7.8792,1.0,0.4,0.5,1,2,0,1.0
7,3,15.0,0,0,8.0292,0.4,0.4,0.5,1,2,0,1.0
8,3,35.0,0,0,7.75,0.4,0.4,0.5,1,2,0,1.0
9,3,31.084204413472776,0,0,7.75,0.4,0.4,0.5,0,2,0,0.0
10,3,24.0,1,0,16.1,0.4,0.4,0.5,0,0,0,0.0
11,3,19.0,1,0,16.1,0.4,0.4,0.5,1,0,0,1.0
12,3,31.084204413472776,0,0,7.75,0.4,0.4,0.5,1,2,0,1.0
13,3,31.084204413472776,0,0,8.05,0.4,0.4,0.5,1,0,0,1.0
14,3,31.084204413472776,0,0,8.05,0.4,0.4,0.5,1,0,0,1.0
15,3,55.5,0,0,8.05,0.4,0.4,0.5,0,0,0,0.0
16,3,31.084204413472776,0,0,7.75,0.4,0.4,0.5,0,2,0,0.0
17,3,21.0,0,0,7.775,1.0,0.4,0.5,0,0,0,1.0
18,3,31.084204413472776,0,0,8.05,0.4,0.4,0.5,0,0,0,0.0
19,3,24.0,0,0,7.8958,0.4,0.4,0.5,0,0,0,0.0
20,3,21.0,0,0,7.8958,0.4,0.4,0.5,0,0,0,0.0
21,3,28.0,0,0,7.8958,0.4,0.4,0.5,0,0,0,0.0
22,3,31.084204413472776,0,0,7.8958,0.4,0.4,0.5,0,0,0,0.0
